# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun  6 20:26:53 2024
#
# User preference: *
#
# CONSTRAINT:  order by pl_insol desc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN disposition:    Archive Disposition
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_kepmag:      Kepler Magnitude
#
pl_name,hostname,disposition,pl_orbper,pl_orbsmax,pl_rade,pl_insol,pl_eqt,pl_trandur,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_kepmag
EPIC 247988033.01,EPIC 247988033,CANDIDATE,5.16415700,,1.006,,,2.2000000,3832.00,0.63,0.61,0.079,4.63,84.4180100,12.077
EPIC 247885088.01,EPIC 247885088,CANDIDATE,6.36330200,,2.786,,,1.5000000,4482.00,0.82,1.02,-0.024,4.62,208.0810000,13.622
EPIC 247856284.01,EPIC 247856284,CANDIDATE,11.95706000,,2.635,,,4.0000000,5292.00,0.83,0.95,0.024,4.58,402.9300000,14.592
EPIC 247724061.01,EPIC 247724061,CANDIDATE,1.24890500,,4.073,,,1.8000000,5496.00,1.29,1.04,-0.100,4.24,325.7690000,12.549
EPIC 247708770.01,EPIC 247708770,CANDIDATE,4.42039400,,10.293,,,6.0000000,5943.00,2.88,2.49,-0.240,3.92,2925.4200000,15.374
EPIC 247698108.01,EPIC 247698108,CANDIDATE,20.37943400,,24.603,,,14.0000000,4993.00,4.26,1.25,-0.325,3.28,1165.3200000,14.021
EPIC 247562358.01,EPIC 247562358,CANDIDATE,3.09246000,,2.413,,,1.9000000,4051.00,0.70,0.81,-0.223,4.66,312.9290000,15.315
EPIC 247445728.01,EPIC 247445728,CANDIDATE,13.75790000,,,,,,4860.00,0.76,,,,320.7800000,13.652
EPIC 247396991.01,EPIC 247396991,CANDIDATE,14.61678300,,2.119,,,3.9000000,5174.00,0.82,1.02,-0.098,4.62,364.4640000,14.248
EPIC 247281516.01,EPIC 247281516,CANDIDATE,6.77083400,,25.455,,,6.7000000,6310.00,2.24,1.90,-0.021,4.01,726.8710000,12.659
EPIC 247226616.01,EPIC 247226616,CANDIDATE,2.41947200,,36.563,,,5.8000000,6830.00,2.48,2.09,-0.004,3.97,816.7630000,13.021
EPIC 247164043.01,EPIC 247164043,CANDIDATE,5.22835200,,2.282,,,3.5000000,6265.00,1.27,0.99,-0.088,4.22,128.6540000,9.482
EPIC 247122439.01,EPIC 247122439,CANDIDATE,0.73217000,,1.108,,,1.3000000,4641.00,0.83,0.84,-0.038,4.53,215.2020000,13.075
EPIC 247063356.01,EPIC 247063356,CANDIDATE,9.70510000,,,,,,5090.00,1.24,,,,282.0110000,12.093
EPIC 247047370.01,EPIC 247047370,CANDIDATE,4.20566000,,,,,,5006.00,0.90,,,,113.2050000,10.881
EPIC 246987084.01,EPIC 246987084,CANDIDATE,7.09869500,,1.837,,,2.9000000,4857.00,0.68,0.81,-0.412,4.68,304.1840000,14.222
EPIC 246947582.01,EPIC 246947582,CANDIDATE,21.37137200,,16.514,,,6.6000000,4692.00,1.14,1.23,0.037,4.41,365.6100000,15.012
EPIC 246920193.01,EPIC 246920193,CANDIDATE,10.19970000,,,,,,5340.00,0.97,,,,143.3640000,10.916
EPIC 246909566.01,EPIC 246909566,CANDIDATE,1.92500000,0.025100,1.070,,452,,3067.00,0.24,0.12,,4.77,98.2667000,17.231
EPIC 246899433.01,EPIC 246899433,CANDIDATE,13.10789400,,25.768,,,4.3000000,5732.00,1.08,0.96,-0.150,4.35,,15.471
EPIC 246851721 b,EPIC 246851721,CONFIRMED,6.18026790,,,,,,6202.00,1.59,1.32,0.141,4.16,372.6320000,11.257
EPIC 246851148.01,EPIC 246851148,CANDIDATE,18.89619200,,1.975,,,3.0000000,4459.00,0.55,0.49,-0.162,4.65,148.3530000,13.817
EPIC 246777408.01,EPIC 246777408,CANDIDATE,2.46564000,,30.186,,,5.5000000,7068.00,2.50,1.91,0.049,3.93,474.1780000,11.209
EPIC 246711015.02,EPIC 246711015,CANDIDATE,24.21311700,,0.505,,,3.7000000,3245.00,0.12,0.10,0.394,5.24,,15.635
EPIC 246711015.01,EPIC 246711015,CANDIDATE,13.28421900,,1.233,,,2.7000000,3245.00,0.12,0.10,0.394,5.24,,15.635
EPIC 246448041.01,EPIC 246448041,CANDIDATE,7.21084000,,2.260,,,3.1000000,5739.00,1.05,0.79,-0.187,4.29,610.7690000,13.637
EPIC 246429728.01,EPIC 246429728,CANDIDATE,11.41643900,,3.034,,,2.0000000,3668.00,0.45,0.50,0.205,4.83,176.5640000,15.695
EPIC 246405278.01,EPIC 246405278,CANDIDATE,4.46443800,,6.184,,,3.5000000,5894.00,1.43,1.05,-0.084,4.14,1034.4800000,13.906
EPIC 246380972.01,EPIC 246380972,CANDIDATE,17.76840400,,2.787,,,3.3000000,4961.00,0.76,0.98,-0.154,4.67,362.5670000,13.842
EPIC 246377038.01,EPIC 246377038,CANDIDATE,5.10555000,,10.889,,,1.8000000,4938.00,1.11,1.87,-0.074,4.62,1036.9600000,15.436
EPIC 246366798.01,EPIC 246366798,CANDIDATE,7.53994900,,2.511,,,4.0000000,5661.00,1.21,1.16,-0.128,4.34,566.9320000,13.292
EPIC 246362870.01,EPIC 246362870,CANDIDATE,4.03776000,,,,,,4689.00,0.58,,,,253.7720000,14.026
EPIC 246356732.01,EPIC 246356732,CANDIDATE,13.91450000,,,,,,6640.00,1.60,,,,458.7640000,11.440
EPIC 246331418.02,EPIC 246331418,CANDIDATE,9.32000000,0.072400,1.430,,516,,4408.00,0.43,0.28,,4.62,157.0010000,14.472
EPIC 246331418.01,EPIC 246331418,CANDIDATE,3.35000000,0.026600,0.970,,851,,4408.00,0.43,0.28,,4.62,157.0010000,14.472
EPIC 246331347.01,EPIC 246331347,CANDIDATE,1.08200000,0.016200,2.220,,928,,3408.00,0.52,0.24,,4.40,189.9550000,15.459
EPIC 246331347.01,EPIC 246331347,CANDIDATE,1.08236100,,7.158,,,1.2000000,5556.00,1.72,1.16,-0.376,4.03,189.9550000,15.459
EPIC 246325464.01,EPIC 246325464,CANDIDATE,3.37951600,,4.742,,,2.1000000,4940.00,0.74,0.77,-0.125,4.58,,15.195
EPIC 246317113.01,EPIC 246317113,CANDIDATE,1.29655000,,8.559,,,2.1000000,3583.00,0.59,0.54,-0.361,4.64,,15.478
EPIC 246313886.01,EPIC 246313886,CANDIDATE,1.82700000,0.018700,0.990,,986,,3949.00,0.50,0.52,,4.75,155.7640000,14.481
EPIC 246310303.01,EPIC 246310303,CANDIDATE,16.98019700,,2.705,,,4.1000000,5319.00,0.88,0.85,-0.140,4.48,520.7020000,14.047
EPIC 246290342.01,EPIC 246290342,CANDIDATE,16.60729900,,2.532,,,3.7000000,4878.00,0.76,1.01,-0.050,4.68,534.3010000,14.738
EPIC 246270904.01,EPIC 246270904,CANDIDATE,3.98547000,,,,,,4256.00,0.72,,,,500.6360000,15.671
EPIC 246265680.01,EPIC 246265680,CANDIDATE,8.63870000,,,,,,5120.00,0.65,,,,2684.3200000,16.544
EPIC 246261316.01,EPIC 246261316,CANDIDATE,4.69604500,,2.570,,,2.4000000,5003.00,0.78,0.91,0.049,4.61,371.3770000,13.594
EPIC 246260670.01,EPIC 246260670,CANDIDATE,3.85349400,,6.957,,,2.4000000,4459.00,0.74,0.84,-0.095,4.62,509.3820000,15.286
EPIC 246178445.01,EPIC 246178445,CANDIDATE,6.39595000,,,,,,3972.00,0.68,,,,106.2600000,12.886
EPIC 246163416.01,EPIC 246163416,FALSE POSITIVE,0.87700000,,,,,,,,,,,118.9255000,13.482
EPIC 246120353.01,EPIC 246120353,CANDIDATE,21.43603200,,2.486,,,3.0000000,3627.00,0.47,0.47,0.091,4.77,143.4810000,14.731
EPIC 246088339.01,EPIC 246088339,CANDIDATE,2.98854100,,3.504,,,2.4000000,5761.00,1.02,0.88,-0.063,4.36,551.4960000,13.465
EPIC 246067130.01,EPIC 246067130,CANDIDATE,6.78653900,,1.200,,,2.9000000,5866.00,0.97,0.80,-0.422,4.36,252.3140000,11.742
EPIC 246061904.02,EPIC 246061904,CANDIDATE,20.67605600,,3.302,,,3.9000000,4572.00,0.77,0.88,-0.051,4.62,309.9230000,13.799
EPIC 246061904.01,EPIC 246061904,CANDIDATE,7.08426700,,3.848,,,3.0000000,4572.00,0.77,0.88,-0.051,4.62,309.9230000,13.799
EPIC 246042088.02,EPIC 246042088,CANDIDATE,11.82469000,,,,,,4975.00,0.79,,,,712.6200000,15.180
EPIC 246042088.01,EPIC 246042088,CANDIDATE,8.04473000,,,,,,4975.00,0.79,,,,712.6200000,15.180
EPIC 246030759.01,EPIC 246030759,CANDIDATE,29.95726200,,8.456,,,2.9000000,4897.00,0.71,0.91,-0.120,4.70,469.8270000,14.676
EPIC 245944983.01,EPIC 245944983,CANDIDATE,5.13800000,,,,,,,,,,,139.3710000,12.738
EPIC 245928102.01,EPIC 245928102,CANDIDATE,11.10967500,,2.462,,,2.6000000,4813.00,0.66,0.72,-0.368,4.66,325.5930000,14.078
EPIC 236744423.01,EPIC 236744423,CANDIDATE,18.23931100,,3.792,,,4.3000000,4015.00,0.48,1.62,-0.120,4.81,615.5790000,17.230
EPIC 230517965.01,EPIC 230517965,CANDIDATE,9.63203900,,2.279,,,0.9800000,4646.00,0.70,0.72,-0.117,4.61,98.6156000,14.945
EPIC 229228348.01,EPIC 229228348,CANDIDATE,3.13761100,,,,,1.7208000,3579.00,0.45,0.50,,4.83,382.8870000,
EPIC 229133720.01,EPIC 229133720,CANDIDATE,4.03679100,,2.338,,,,4933.00,0.73,,-0.120,4.65,104.8560000,11.477
EPIC 229133720.01,EPIC 229133720,CANDIDATE,4.03692000,,2.240,,870,1.5000000,4861.07,0.74,0.79,-0.034,4.60,104.8560000,11.477
EPIC 229103251.01,EPIC 229103251,CANDIDATE,11.67254000,,3.870,,946,3.1008000,5725.00,1.23,1.02,,4.27,740.1140000,13.680
EPIC 229039390.01,EPIC 229039390,CANDIDATE,0.25164700,,27.977,,,,5833.00,0.99,,-0.040,4.41,437.5900000,12.735
EPIC 229004835 b,EPIC 229004835,CONFIRMED,16.14044200,,2.060,,,,5870.00,0.98,,-0.150,4.40,121.9710000,10.151
EPIC 229004835 b,EPIC 229004835,CONFIRMED,16.13655000,,2.020,,739,2.1000000,5886.00,1.00,1.07,,4.47,121.9710000,10.151
EPIC 228974907.01,HIP 61018,CANDIDATE,20.84919000,,3.010,,1349,4.9992000,9767.00,2.37,2.49,,4.08,375.6720000,9.344
EPIC 228964773.01,EPIC 228964773,CANDIDATE,37.20364000,,5.100,,498,3.1008000,5476.00,0.83,0.96,,4.58,788.1470000,14.948
EPIC 228952747.01,EPIC 228952747,CANDIDATE,1.05578500,,1.520,,,,4315.00,0.59,,-0.330,4.73,90.5352000,12.224
EPIC 228888935.01,EPIC 228888935,CANDIDATE,5.69046000,,18.810,,1503,3.3000000,5549.00,1.81,0.98,,3.91,1233.2800000,14.103
EPIC 228872473.01,EPIC 228872473,CANDIDATE,10.58394200,,2.720,,,3.8000000,5280.00,0.87,0.95,0.148,4.53,952.8290000,15.475
EPIC 228846243.01,EPIC 228846243,CANDIDATE,25.58142000,,8.350,,914,5.4000000,5409.94,1.91,0.94,-0.027,3.85,1347.9300000,14.505
EPIC 228836835 b,EPIC 228836835,CONFIRMED,0.72813000,,1.270,,932,0.7992000,3506.00,0.42,0.42,,4.80,150.1240000,14.925
EPIC 228836835 b,EPIC 228836835,CONFIRMED,0.72811300,,1.100,,,,3782.00,0.32,,-0.180,5.00,150.1240000,14.925
EPIC 228834632.01,EPIC 228834632,CANDIDATE,11.73677000,,1.820,,516,2.1000000,3984.72,0.76,0.62,-0.148,4.47,282.5540000,14.887
EPIC 228814754.01,EPIC 228814754,CANDIDATE,0.84454800,,1.005,,,0.5800000,3109.00,0.17,0.13,-0.096,5.13,44.1769000,14.574
EPIC 228809391.01,EPIC 228809391,CANDIDATE,19.57572000,,2.843,,,,5611.00,0.91,,0.060,4.55,331.0830000,12.595
EPIC 228809391.01,EPIC 228809391,CANDIDATE,19.57833000,,2.770,,644,2.5992000,5613.00,0.94,0.99,,4.49,331.0830000,12.595
EPIC 228784812.01,EPIC 228784812,CANDIDATE,4.18787000,,1.360,,1142,2.2008000,5589.98,0.97,0.99,0.211,4.46,342.1420000,12.613
EPIC 228758948.01,EPIC 228758948,CANDIDATE,12.20239000,,4.150,,812,4.0008000,5869.00,1.01,1.06,,4.45,439.4980000,12.866
EPIC 228753871.01,EPIC 228753871,CANDIDATE,18.69646000,,2.350,,571,2.2008000,5212.00,0.76,0.89,,4.62,293.1070000,13.190
EPIC 228737155.01,EPIC 228737155,CANDIDATE,25.98828900,,316.734,,,,4382.00,15.95,,-0.720,2.07,3177.4700000,11.081
EPIC 228734889.01,EPIC 228734889,CANDIDATE,48.24955200,,17.999,,,,5792.00,0.96,,0.000,4.52,376.4810000,12.590
EPIC 228729473.01,EPIC 228729473,FALSE POSITIVE,16.77055600,,13.240,,,,4939.00,2.88,,-0.040,3.54,570.6060000,11.524
EPIC 228729473.01,EPIC 228729473,FALSE POSITIVE,16.77217000,,19.290,,1173,12.4008000,4898.00,3.88,,,,570.6060000,11.524
EPIC 228724899.01,EPIC 228724899,CANDIDATE,5.20256000,,3.580,,1000,1.3992000,5489.00,1.00,0.96,,4.42,427.1240000,13.293
EPIC 228720681.01,EPIC 228720681,CANDIDATE,15.78132000,,10.870,,741,3.4008000,,,,,,696.6950000,13.763
EPIC 228707509.01,EPIC 228707509,CANDIDATE,15.35092000,,16.310,,734,3.6000000,5417.00,0.94,0.94,,4.46,858.1450000,14.806
EPIC 228682364.01,EPIC 228682364,FALSE POSITIVE,0.87289300,,,,,3.4368000,,,,,,520.7680000,19.970
EPIC 226042826.01,EPIC 226042826,CANDIDATE,3.12897700,,1.282,,,3.3000000,5140.00,0.98,1.48,0.035,4.62,179.3920000,11.617
EPIC 220725183.01,EPIC 220725183,CANDIDATE,2.31116200,,51.600,,,4.0296000,,1.58,,,,465.9100000,11.509
EPIC 220708327.01,EPIC 220708327,CANDIDATE,2.52894000,,1.440,,,1.8000000,,0.96,,,,402.9040000,12.906
EPIC 220679255.02,EPIC 220679255,CANDIDATE,17.78804000,,2.780,,,1.6800000,,1.15,,,,319.8140000,11.975
EPIC 220679255.01,EPIC 220679255,CANDIDATE,8.13440000,,2.360,,,1.9200000,,1.15,,,,319.8140000,11.975
EPIC 220679255.01,EPIC 220679255,CANDIDATE,8.13321800,,2.051,,,,5966.00,1.08,,0.010,4.33,319.8140000,11.975
EPIC 220674823 c,EPIC 220674823,CONFIRMED,13.33868700,,2.800,,,3.4392000,,0.97,,,,244.5900000,11.958
EPIC 220674823 c,EPIC 220674823,CONFIRMED,13.33907900,0.109100,2.730,,741,,5617.00,0.98,0.97,0.130,4.45,244.5900000,11.958
EPIC 220674823 c,EPIC 220674823,CONFIRMED,13.33970000,0.105000,2.500,,774,3.6600000,5470.00,0.87,0.94,-0.025,4.53,244.5900000,11.958
EPIC 220674823 c,EPIC 220674823,CONFIRMED,13.34124500,,2.530,,,,5590.00,0.83,0.93,0.025,4.56,244.5900000,11.958
EPIC 220674823 c,EPIC 220674823,CONFIRMED,13.33877000,,3.790,,,4.4400000,,1.02,,,,244.5900000,11.958
EPIC 220674823 c,EPIC 220674823,CONFIRMED,13.33461500,,2.200,,,,5613.00,0.95,,0.010,4.60,244.5900000,11.958
EPIC 220674823 c,EPIC 220674823,CONFIRMED,13.33974600,,2.705,,,,5590.00,0.91,0.97,0.080,4.54,244.5900000,11.958
EPIC 220674823 b,EPIC 220674823,CONFIRMED,0.57129900,,1.669,,,,5590.00,0.91,0.97,0.080,4.54,244.5900000,11.958
EPIC 220674823 b,EPIC 220674823,CONFIRMED,0.57100000,,1.712,,,,5496.00,0.98,0.90,0.060,4.42,244.5900000,11.958
EPIC 220674823 b,EPIC 220674823,CONFIRMED,0.57133600,,1.800,,,1.4496000,,0.97,,,,244.5900000,11.958
EPIC 220674823 b,EPIC 220674823,CONFIRMED,0.57133100,0.013400,1.820,,2119,,5617.00,0.98,0.97,0.130,4.45,244.5900000,11.958
EPIC 220674823 b,EPIC 220674823,CONFIRMED,0.57130800,,1.460,,,,5590.00,0.83,0.93,0.025,4.56,244.5900000,11.958
EPIC 220674823 b,EPIC 220674823,CONFIRMED,0.57129200,0.011600,1.520,,2333,1.5320000,5470.00,0.87,0.94,-0.025,4.53,244.5900000,11.958
EPIC 220674823 b,EPIC 220674823,CONFIRMED,0.57128500,,1.816,,,1.5072000,,1.02,,,,244.5900000,11.958
EPIC 220674823 b,EPIC 220674823,CONFIRMED,0.57121200,,1.600,,,,5613.00,0.95,,0.010,4.60,244.5900000,11.958
EPIC 220666631.01,EPIC 220666631,CANDIDATE,31.97610000,,3.920,,,5.9280000,,1.46,,,,697.3650000,13.073
EPIC 220663602.01,EPIC 220663602,CANDIDATE,6.40630000,,0.888,,,1.7280000,,0.20,,,,91.3722000,15.186
EPIC 220657558.01,EPIC 220657558,CANDIDATE,3.91764000,,2.940,,,2.4960000,,1.35,,,,781.3320000,13.638
EPIC 220650843.01,EPIC 220650843,CANDIDATE,10.22657000,,2.710,,,3.3360000,,0.68,,,,228.0690000,14.046
EPIC 220650843.01,EPIC 220650843,CANDIDATE,10.22800000,,,,,,4081.00,0.46,,,,228.0690000,14.046
EPIC 220648214.01,EPIC 220648214,CANDIDATE,29.43523300,,2.917,,,,5785.00,1.20,,0.010,4.21,368.1700000,12.390
EPIC 220644522.01,EPIC 220644522,CANDIDATE,40.93800000,,3.570,,,6.5520000,,1.08,,,,498.1050000,13.376
EPIC 220643470.01,EPIC 220643470,CANDIDATE,2.65323000,,62.277,,,,4621.00,13.73,,-0.780,2.17,2163.1300000,10.839
EPIC 220643470.01,EPIC 220643470,CANDIDATE,2.65327500,,118.000,,,3.9168000,,24.80,,,,2163.1300000,10.839
EPIC 220639177.01,EPIC 220639177,CANDIDATE,7.14238000,,1.750,,,1.1520000,,0.68,,,,205.0040000,12.771
EPIC 220631484.01,EPIC 220631484,CANDIDATE,13.26773000,,4.040,,,1.0560000,,0.81,,,,412.3910000,13.597
EPIC 220616148.02,EPIC 220616148,CANDIDATE,15.15630000,,3.010,,,4.9200000,,1.17,,,,716.2220000,13.670
EPIC 220616148.01,EPIC 220616148,CANDIDATE,6.73511000,,3.900,,,4.9920000,,1.17,,,,716.2220000,13.670
EPIC 220616148.01,EPIC 220616148,CANDIDATE,6.73572000,,,,,,5740.00,1.17,,,,716.2220000,13.670
EPIC 220606084.01,EPIC 220606084,CANDIDATE,,,12.320,,,8.1600000,,1.70,,,,727.1070000,13.004
EPIC 220605820.01,EPIC 220605820,CANDIDATE,46.47688000,,62.000,,,6.5040000,,2.39,,,,1096.5600000,13.762
EPIC 220598367.02,EPIC 220598367,CANDIDATE,7.64514000,,6.500,,,2.5920000,,1.06,,,,595.5290000,14.127
EPIC 220579319.01,EPIC 220579319,CANDIDATE,39.32660000,,3.570,,,8.2800000,,1.35,,,,545.2130000,13.016
EPIC 220573228.02,EPIC 220573228,CANDIDATE,20.21535000,,2.610,,,3.4080000,,0.97,,,,185.2720000,11.057
EPIC 220573228.01,EPIC 220573228,CANDIDATE,57.10412000,,5.610,,,5.1696000,,0.97,,,,185.2720000,11.057
EPIC 220571481.01,EPIC 220571481,CANDIDATE,8.78627000,,3.160,,,1.3920000,,1.18,,,,545.7520000,13.055
EPIC 220565349.01,EPIC 220565349,CANDIDATE,21.77697100,,19.900,,,2.2008000,,0.84,,,,603.9210000,14.122
EPIC 220565349.01,EPIC 220565349,CANDIDATE,21.77635000,,37.000,,,2.1696000,,1.12,,,,603.9210000,14.122
EPIC 220565337.01,EPIC 220565337,CANDIDATE,14.75300000,,3.000,,,2.3280000,,0.57,,,,227.4520000,15.412
EPIC 220562610.01,EPIC 220562610,CANDIDATE,,,6.710,,,11.6400000,,1.26,,,,400.2700000,12.513
EPIC 220556827.01,EPIC 220556827,CANDIDATE,6.53046000,,3.360,,,2.4000000,,0.69,,,,256.1870000,15.408
EPIC 220556827.01,EPIC 220556827,CANDIDATE,6.53074000,,,,,,3628.00,0.69,,,,256.1870000,15.408
EPIC 220555384.01,EPIC 220555384,CANDIDATE,4.28475000,,1.200,,,1.1688000,,0.55,,,,,12.395
EPIC 220555384.01,EPIC 220555384,CANDIDATE,4.28446000,,1.980,,,1.1952000,,0.93,,,,,12.395
EPIC 220555384.01,EPIC 220555384,CANDIDATE,4.28452300,,1.303,,,,4360.00,0.62,,-0.200,4.69,,12.395
EPIC 220554210 c,K2-282,CONFIRMED,0.70538600,,1.730,,,1.7040000,,1.01,,,,496.2890000,13.723
EPIC 220554210 c,K2-282,CONFIRMED,0.70531000,,1.480,,,,,,0.94,,,496.2890000,13.723
EPIC 220554210 c,K2-282,CONFIRMED,0.70531000,,1.600,,,,5499.00,1.00,,-0.230,4.50,496.2890000,13.723
EPIC 220542353.01,HIP 4601,CANDIDATE,15.24659300,,78.000,,,3.7608000,,1.91,,,,129.9440000,8.837
EPIC 220527374.01,EPIC 220527374,CANDIDATE,10.43470000,,1.690,,,3.4560000,,0.82,,,,452.8800000,13.784
EPIC 220526079.01,EPIC 220526079,CANDIDATE,7.51114000,,2.980,,,2.4000000,,0.64,,,,441.4340000,15.554
EPIC 220492492.01,EPIC 220492492,CANDIDATE,9.45380000,,1.910,,,4.9200000,,0.93,,,,639.6180000,13.811
EPIC 220492298 b,EPIC 220492298,CONFIRMED,0.76240600,,0.990,,,,5620.00,0.89,,0.280,4.50,624.5120000,13.786
EPIC 220482322.01,EPIC 220482322,CANDIDATE,57.84150000,,6.130,,,8.1600000,,1.50,,,,569.2140000,12.583
EPIC 220477223.01,EPIC 220477223,CANDIDATE,4.68455900,,4.757,,,2.9000000,5829.00,1.18,0.90,0.027,4.24,266.3310000,11.402
EPIC 220470563.01,EPIC 220470563,CANDIDATE,7.30383000,,2.180,,,1.3704000,,0.71,,,,313.3260000,13.647
EPIC 220466136.01,EPIC 220466136,CANDIDATE,17.10570000,,5.910,,,3.4320000,,0.59,,,,523.8730000,15.540
EPIC 220448185.01,EPIC 220448185,CANDIDATE,0.72863900,,17.200,,,0.3696000,,0.69,,,,233.7350000,15.976
EPIC 220443340.01,EPIC 220443340,CANDIDATE,6.80111000,,1.960,,,1.1760000,,0.29,,,,115.2220000,15.686
EPIC 220436943.01,EPIC 220436943,CANDIDATE,2.43807000,,2.150,,,1.4160000,,0.62,,,,458.2340000,15.089
EPIC 220436208.01,EPIC 220436208,CANDIDATE,5.23587000,,4.860,,,3.6720000,,1.25,,,,718.6480000,13.923
EPIC 220436208.01,EPIC 220436208,CANDIDATE,5.23571400,,4.300,,,3.4512000,,1.17,,,,718.6480000,13.923
EPIC 220436189.01,EPIC 220436189,CANDIDATE,13.60940000,,2.440,,,2.7840000,,0.56,,,,205.1990000,14.917
EPIC 220434612.01,EPIC 220434612,CANDIDATE,2.01060700,,1.280,,,1.8000000,3806.00,0.62,0.61,-0.307,4.64,241.2430000,14.941
EPIC 220431824.01,EPIC 220431824,CANDIDATE,9.07326600,,23.320,,,6.9456000,,1.76,,,,676.8480000,13.005
EPIC 220416518.01,EPIC 220416518,CANDIDATE,3.78177000,,1.810,,,2.4480000,,1.09,,,,511.1140000,13.276
EPIC 220410754.01,EPIC 220410754,CANDIDATE,19.49890000,,2.320,,,4.6080000,,1.08,,,,467.9430000,12.843
EPIC 220410754.01,EPIC 220410754,CANDIDATE,19.49664900,,2.216,,,,5758.00,1.16,,-0.050,4.22,467.9430000,12.843
EPIC 220401029.01,EPIC 220401029,CANDIDATE,4.49161000,,2.010,,,2.6400000,,0.82,,,,371.4060000,13.588
EPIC 220400525.01,EPIC 220400525,CANDIDATE,57.83960000,,9.800,,,6.5520000,,0.73,,,,318.4080000,13.753
EPIC 220400100.02,EPIC 220400100,CANDIDATE,4.06643000,,1.220,,,1.5600000,,0.62,,,,250.1830000,13.376
EPIC 220400100.01,EPIC 220400100,CANDIDATE,10.79460000,,2.340,,,3.3360000,,0.62,,,,250.1830000,13.376
EPIC 220400100.01,EPIC 220400100,CANDIDATE,10.79460000,,,,,,5045.00,0.62,,,,250.1830000,13.376
EPIC 220397060.01,EPIC 220397060,CANDIDATE,12.09259000,,14.700,,,8.7120000,,2.46,,,,815.7670000,12.835
EPIC 220397060.01,EPIC 220397060,CANDIDATE,12.09219900,,5.844,,,,5333.00,0.99,,0.050,4.20,815.7670000,12.835
EPIC 220397060.01,EPIC 220397060,CANDIDATE,12.09221600,,4.700,,,8.5104000,,0.84,,,,815.7670000,12.835
EPIC 220395416.01,EPIC 220395416,CANDIDATE,45.49390000,,7.170,,,8.2800000,,1.63,,,,455.7750000,11.913
EPIC 220393791.01,EPIC 220393791,CANDIDATE,12.72560000,,2.160,,,3.4320000,,1.00,,,,568.6670000,13.167
EPIC 220342163.01,EPIC 220342163,CANDIDATE,4.69942000,,2.500,,,3.7920000,,0.60,,,,257.2790000,13.677
EPIC 220336320.01,EPIC 220336320,CANDIDATE,1.72767000,,21.300,,,1.3704000,,0.37,,,,,15.929
EPIC 220322327.01,EPIC 220322327,CANDIDATE,3.31347000,,3.800,,,2.9760000,,0.82,,,,397.8870000,13.910
EPIC 220317172.01,EPIC 220317172,CANDIDATE,4.43580000,,1.300,,,0.9360000,,0.88,,,,208.9360000,12.107
EPIC 220317172.01,EPIC 220317172,CANDIDATE,4.43571700,,1.325,,,,5374.00,0.85,,0.090,4.59,208.9360000,12.107
EPIC 220316844.01,EPIC 220316844,CANDIDATE,0.67199770,,25.200,,,1.7160000,,1.79,,,,671.8070000,11.899
EPIC 220315508.01,EPIC 220315508,CANDIDATE,6.55340000,,1.110,,,2.5200000,,0.77,,,,121.2260000,11.164
EPIC 220309058.01,EPIC 220309058,CANDIDATE,9.64954000,,2.740,,,1.0056000,,0.59,,,,109.2690000,13.939
EPIC 220299658.01,EPIC 220299658,CANDIDATE,21.98131000,,197.025,,,4.6000000,4491.00,22.41,1.08,-0.794,1.77,283.4300000,16.645
EPIC 220294712.01,EPIC 220294712,CANDIDATE,23.61093900,,3.000,,,5.8392000,,1.09,,,,427.0260000,12.264
EPIC 220294712.01,EPIC 220294712,CANDIDATE,23.60790200,,3.119,,,,6057.00,1.12,,0.100,4.38,427.0260000,12.264
EPIC 220294712.01,EPIC 220294712,CANDIDATE,23.60880000,,3.430,,,6.0000000,,1.20,,,,427.0260000,12.264
EPIC 220292715.01,EPIC 220292715,CANDIDATE,41.55209000,,4.300,,,2.9520000,,0.73,,,,157.8110000,12.213
EPIC 220292715.01,EPIC 220292715,CANDIDATE,41.55293400,,4.158,,,,4895.00,0.72,,-0.150,4.52,157.8110000,12.213
EPIC 220290988.01,EPIC 220290988,CANDIDATE,10.55369000,,2.720,,,3.7680000,,0.88,,,,449.9190000,13.859
EPIC 220288594.01,EPIC 220288594,CANDIDATE,4.02748000,,1.240,,,1.2480000,,0.59,,,,271.9520000,13.756
EPIC 220288191.01,EPIC 220288191,CANDIDATE,24.41310000,,15.300,,,2.0400000,,0.64,,,,383.4770000,15.535
